fecha,tipo_movimiento,categoria,importe_eur,saldo_post_movimiento,descripcion,canal,mes,dia,alerta,tipo_movimiento_general
2024-01-01,Ingreso,Salario,2374.51,4874.51,Nómina mensual,Transferencia,January,Monday,,ingreso de dinero
2024-01-01,Gasto,Transporte,-31.18,4843.33,Pago con tarjeta,Tarjeta,January,Monday,,gasto recurrente
2024-01-02,Gasto,Alimentación,-49.67,4793.66,Pago con tarjeta,Tarjeta,January,Tuesday,,gasto recurrente
2024-01-03,Gasto,Transporte,-8.37,4785.29,Pago con tarjeta,Tarjeta,January,Wednesday,,gasto recurrente
2024-01-03,Gasto,Alimentación,-30.0,4755.29,Pago con tarjeta,Tarjeta,January,Wednesday,,gasto recurrente
2024-01-04,Gasto,Ropa,-18.38,4736.91,Pago con tarjeta,Tarjeta,January,Thursday,,gasto extraordinario
2024-01-04,Gasto,Transporte,-38.81,4698.1,Pago con tarjeta,Tarjeta,January,Thursday,,gasto recurrente
2024-01-04,Ingreso,Bizum,76.83,4774.93,Bizum recibido,Bizum,January,Thursday,,sin definir
2024-01-05,Gasto,Alquiler,-900.0,3874.9300000000003,Cargo Alquiler,Débito,January,Friday,,fijo
2024-01-06,Gasto,Ocio,-39.72,3835.21,Pago con tarjeta,Tarjeta,January,Saturday,,gasto extraordinario
2024-01-07,Gasto,Préstamo personal,-220.0,3615.21,Cargo Préstamo personal,Débito,January,Sunday,,fijo
2024-01-07,Gasto,Alimentación,-29.78,3585.4300000000003,Pago con tarjeta,Tarjeta,January,Sunday,,gasto recurrente
2024-01-07,Gasto,Transporte,-17.61,3567.8200000000006,Pago con tarjeta,Tarjeta,January,Sunday,,gasto recurrente
2024-01-09,Gasto,Otros,-51.92,3515.9000000000005,Pago con tarjeta,Tarjeta,January,Tuesday,,gasto extraordinario
2024-01-11,Gasto,Otros,-48.16,3467.7400000000002,Pago con tarjeta,Tarjeta,January,Thursday,,gasto extraordinario
2024-01-11,Gasto,Gasto extraordinario,-516.96,2950.78,Compra excepcional,Tarjeta,January,Thursday,,gasto extraordinario
2024-01-12,Gasto,Electricidad,-70.0,2880.78,Cargo Electricidad,Débito,January,Friday,,fijo
2024-01-12,Gasto,Gas,-45.0,2835.78,Cargo Gas,Débito,January,Friday,,fijo
2024-01-12,Gasto,Transporte,-56.17,2779.61,Pago con tarjeta,Tarjeta,January,Friday,,gasto recurrente
2024-01-13,Gasto,Alimentación,-20.54,2759.07,Pago con tarjeta,Tarjeta,January,Saturday,,gasto recurrente
2024-01-15,Gasto,Internet,-55.0,2704.07,Cargo Internet,Débito,January,Monday,,fijo
2024-01-15,Gasto,Telefonía,-35.0,2669.07,Cargo Telefonía,Débito,January,Monday,,fijo
2024-01-16,Gasto,Alimentación,-26.22,2642.8500000000004,Pago con tarjeta,Tarjeta,January,Tuesday,,gasto recurrente
2024-01-17,Gasto,Educación,-20.96,2621.8900000000003,Pago con tarjeta,Tarjeta,January,Wednesday,,fijo
