fecha,tipo_movimiento,categoria,importe_eur,saldo_post_movimiento,descripcion,canal
2024-01-01,Ingreso,Salario,2374.51,4874.51,Nómina mensual,Transferencia
2024-01-01,Gasto,Transporte,-31.18,4843.32,Pago con tarjeta,Tarjeta
2024-01-02,Gasto,Alimentación,-58.44,4784.89,Pago con tarjeta,Tarjeta
2024-01-03,Gasto,Transporte,-8.37,4776.52,Pago con tarjeta,Tarjeta
2024-01-03,Gasto,Alimentación,-35.29,4741.23,Pago con tarjeta,Tarjeta
2024-01-04,Gasto,Ropa,-18.38,4722.85,Pago con tarjeta,Tarjeta
2024-01-04,Gasto,Transporte,-38.81,4684.04,Pago con tarjeta,Tarjeta
2024-01-04,Ingreso,Bizum,76.83,4760.87,Bizum recibido,Bizum
2024-01-05,Gasto,Alquiler,-900.0,3860.87,Cargo Alquiler,Débito
2024-01-06,Gasto,Ocio,-39.72,3821.15,Pago con tarjeta,Tarjeta
2024-01-07,Gasto,Préstamo personal,-220.0,3601.15,Cargo Préstamo personal,Débito
2024-01-07,Gasto,Alimentación,-35.04,3566.11,Pago con tarjeta,Tarjeta
2024-01-07,Gasto,Transporte,-17.61,3548.5,Pago con tarjeta,Tarjeta
2024-01-09,Gasto,Otros,-51.92,3496.58,Pago con tarjeta,Tarjeta
2024-01-11,Gasto,Otros,-48.16,3448.43,Pago con tarjeta,Tarjeta
2024-01-11,Gasto,Gasto extraordinario,-1033.92,2414.51,Compra excepcional,Tarjeta
2024-01-12,Gasto,Electricidad,-70.0,2344.51,Cargo Electricidad,Débito
2024-01-12,Gasto,Gas,-45.0,2299.51,Cargo Gas,Débito
2024-01-12,Gasto,Transporte,-56.17,2243.34,Pago con tarjeta,Tarjeta
2024-01-13,Gasto,Alimentación,-24.17,2219.17,Pago con tarjeta,Tarjeta
2024-01-15,Gasto,Internet,-55.0,2164.17,Cargo Internet,Débito
2024-01-15,Gasto,Telefonía,-35.0,2129.17,Cargo Telefonía,Débito
2024-01-16,Gasto,Alimentación,-30.85,2098.33,Pago con tarjeta,Tarjeta
2024-01-17,Gasto,Educación,-20.96,2077.36,Pago con tarjeta,Tarjeta
2024-01-17,Gasto,Restaurantes,-47.29,2030.07,Pago con tarjeta,Tarjeta
2024-01-18,Gasto,Seguro,-45.0,1985.07,Cargo Seguro,Débito
2024-01-18,Gasto,Transporte,-23.37,1961.7,Pago con tarjeta,Tarjeta
2024-01-18,Gasto,Alimentación,-31.74,1929.96,Pago con tarjeta,Tarjeta
2024-01-19,Gasto,Educación,-24.54,1905.43,Pago con tarjeta,Tarjeta
2024-01-20,Gasto,Streaming,-25.0,1880.43,Cargo Streaming,Débito
2024-01-20,Gasto,Gasto extraordinario,-759.67,1120.75,Compra excepcional,Tarjeta
2024-01-21,Gasto,Alimentación,-20.69,1100.06,Pago con tarjeta,Tarjeta
2024-01-22,Gasto,Otros,-58.05,1042.01,Pago con tarjeta,Tarjeta
2024-01-22,Gasto,Alimentación,-33.86,1008.15,Pago con tarjeta,Tarjeta
2024-01-22,Ingreso,Ingreso extra,275.06,1283.21,Ingreso puntual,Transferencia
2024-01-23,Gasto,Alimentación,-25.94,1257.27,Pago con tarjeta,Tarjeta
2024-01-23,Gasto,Transporte,-43.4,1213.87,Pago con tarjeta,Tarjeta
2024-01-24,Gasto,Ropa,-20.36,1193.52,Pago con tarjeta,Tarjeta
2024-01-25,Gasto,Ropa,-49.51,1144.0,Pago con tarjeta,Tarjeta
2024-01-28,Gasto,Otros,-15.15,1128.85,Pago con tarjeta,Tarjeta
2024-01-30,Gasto,Alimentación,-59.81,1069.05,Pago con tarjeta,Tarjeta
2024-01-30,Gasto,Otros,-37.03,1032.02,Pago con tarjeta,Tarjeta
2024-01-31,Gasto,Educación,-54.13,977.89,Pago con tarjeta,Tarjeta
2024-01-31,Gasto,Ropa,-41.39,936.5,Pago con tarjeta,Tarjeta
2024-02-01,Ingreso,Salario,2279.26,3215.76,Nómina mensual,Transferencia
2024-02-01,Gasto,Restaurantes,-56.89,3158.88,Pago con tarjeta,Tarjeta
2024-02-02,Gasto,Ocio,-19.66,3139.21,Pago con tarjeta,Tarjeta
2024-02-03,Gasto,Ocio,-45.49,3093.72,Pago con tarjeta,Tarjeta
2024-02-03,Gasto,Alimentación,-36.21,3057.51,Pago con tarjeta,Tarjeta
2024-02-04,Gasto,Restaurantes,-54.39,3003.13,Pago con tarjeta,Tarjeta
2024-02-04,Gasto,Transporte,-49.33,2953.8,Pago con tarjeta,Tarjeta
2024-02-05,Gasto,Alquiler,-900.0,2053.8,Cargo Alquiler,Débito
2024-02-05,Gasto,Restaurantes,-37.74,2016.05,Pago con tarjeta,Tarjeta
2024-02-06,Gasto,Educación,-27.25,1988.8,Pago con tarjeta,Tarjeta
2024-02-06,Gasto,Alimentación,-56.27,1932.53,Pago con tarjeta,Tarjeta
2024-02-07,Gasto,Préstamo personal,-220.0,1712.53,Cargo Préstamo personal,Débito
2024-02-08,Gasto,Restaurantes,-28.52,1684.01,Pago con tarjeta,Tarjeta
2024-02-08,Gasto,Salud,-56.36,1627.65,Pago con tarjeta,Tarjeta
2024-02-08,Gasto,Bizum,-32.98,1594.66,Bizum enviado,Bizum
2024-02-09,Gasto,Ocio,-44.24,1550.42,Pago con tarjeta,Tarjeta
2024-02-09,Gasto,Ocio,-26.69,1523.73,Pago con tarjeta,Tarjeta
2024-02-12,Gasto,Electricidad,-70.0,1453.73,Cargo Electricidad,Débito
2024-02-12,Gasto,Gas,-45.0,1408.73,Cargo Gas,Débito
2024-02-13,Gasto,Alimentación,-16.06,1392.66,Pago con tarjeta,Tarjeta
2024-02-13,Gasto,Otros,-51.62,1341.04,Pago con tarjeta,Tarjeta
2024-02-13,Ingreso,Ingreso extra,177.04,1518.08,Ingreso puntual,Transferencia
2024-02-14,Gasto,Transporte,-48.04,1470.04,Pago con tarjeta,Tarjeta
2024-02-15,Gasto,Internet,-55.0,1415.04,Cargo Internet,Débito
2024-02-15,Gasto,Telefonía,-35.0,1380.04,Cargo Telefonía,Débito
2024-02-15,Gasto,Restaurantes,-44.37,1335.67,Pago con tarjeta,Tarjeta
2024-02-15,Gasto,Alimentación,-14.9,1320.77,Pago con tarjeta,Tarjeta
2024-02-15,Ingreso,Ingreso extra,207.62,1528.39,Ingreso puntual,Transferencia
2024-02-16,Gasto,Alimentación,-9.32,1519.07,Pago con tarjeta,Tarjeta
2024-02-16,Gasto,Otros,-51.47,1467.6,Pago con tarjeta,Tarjeta
2024-02-17,Gasto,Alimentación,-12.88,1454.72,Pago con tarjeta,Tarjeta
2024-02-17,Gasto,Alimentación,-56.6,1398.12,Pago con tarjeta,Tarjeta
2024-02-18,Gasto,Seguro,-45.0,1353.12,Cargo Seguro,Débito
2024-02-18,Gasto,Restaurantes,-20.88,1332.24,Pago con tarjeta,Tarjeta
2024-02-18,Ingreso,Ingreso extra,117.14,1449.38,Ingreso puntual,Transferencia
2024-02-19,Gasto,Alimentación,-58.93,1390.45,Pago con tarjeta,Tarjeta
2024-02-20,Gasto,Streaming,-25.0,1365.45,Cargo Streaming,Débito
2024-02-21,Gasto,Transporte,-10.36,1355.09,Pago con tarjeta,Tarjeta
2024-02-21,Gasto,Restaurantes,-40.54,1314.55,Pago con tarjeta,Tarjeta
2024-02-22,Gasto,Otros,-57.1,1257.44,Pago con tarjeta,Tarjeta
2024-02-22,Gasto,Salud,-41.09,1216.35,Pago con tarjeta,Tarjeta
2024-02-23,Gasto,Transporte,-56.96,1159.4,Pago con tarjeta,Tarjeta
2024-02-24,Gasto,Alimentación,-27.62,1131.78,Pago con tarjeta,Tarjeta
2024-02-24,Ingreso,Bizum,78.01,1209.79,Bizum recibido,Bizum
